Round Number,Home_Team,Away_Team,Group,Result
1,Netherlands,Senegal,Group A,
1,Ecuador,Qatar,Group A,
1,England,Iran,Group B,
1,USA,Wales,Group B,
1,Argentina,Saudi Arabia,Group C,
1,Denmark,Tunisia,Group D,
1,Mexico,Poland,Group C,
1,France,Australia,Group D,
1,Germany,Japan,Group E,
1,Croatia,Morocco,Group F,
1,Spain,Costa Rica,Group E,
1,Belgium,Canada,Group F,
1,Switzerland,Cameroon,Group G,
1,Brazil,Serbia,Group G,
1,Uruguay,Korea Republic,Group H,
1,Portugal,Ghana,Group H,
2,Senegal,Qatar,Group A,
2,Iran,Wales,Group B,
2,Netherlands,Ecuador,Group A,
2,England,USA,Group B,
2,Poland,Saudi Arabia,Group C,
2,Argentina,Mexico,Group C,
2,Tunisia,Australia,Group D,
2,Costa Rica,Japan,Group E,
2,France,Denmark,Group D,
2,Spain,Germany,Group E,
2,Cameroon,Serbia,Group G,
2,Croatia,Canada,Group F,
2,Belgium,Morocco,Group F,
2,Brazil,Switzerland,Group G,
2,Korea Republic,Ghana,Group H,
2,Portugal,Uruguay,Group H,
3,Ecuador,Senegal,Group A,
3,Netherlandss,Qatar,Group A,
3,USA,Iran,Group B,
3,England,Wales,Group B,
3,Argentina,Poland,Group C,
3,Mexico,Saudi Arabia,Group C,
3,France,Tunisia,Group D,
3,Denmark,Australia,Group D,
3,Belgium,Croatia,Group F,
3,Canada,Morocco,Group F,
3,Spain,Japan,Group E,
3,Germany,Costa Rica,Group E,
3,Portugal,Korea Republic,Group H,
3,Uruguay,Ghana,Group H,
3,Switzerland,Serbia,Group G,
3,Brazil,Cameroon,Group G,
Round of 16,Winner Group A,"Runner-up Group B	",,
Round of 16,Winner Group C,Runner-up Group D,,
Round of 16,Winner Group B,"Runner-up Group A	",,
Round of 16,Winner Group D,Runner-up Group C,,
Round of 16,Winner Group E,Runner-up Group F,,
Round of 16,Winner Group G,Runner-up Group H,,
Round of 16,Winner Group F,Runner-up Group E,,
Round of 16,Winner Group H,Runner-up Group G,,
Quarter Finals,To be announced,To be announced,,
Quarter Finals,To be announced,To be announced,,
Quarter Finals,To be announced,To be announced,,
Quarter Finals,To be announced,To be announced,,
Semi Finals,To be announced,To be announced,,
Semi Finals,To be announced,To be announced,,
Finals,To be announced,To be announced,,
Finals,To be announced,To be announced,,
